OBJECTID,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,LengthKM,ReachCode,FlowDir,WBArea_Permanent_Identifier,FType,FCode,MainPath,InNetwork,VisibilityFilter,Shape_Length,NHDPlusID,VPUID,Enabled
1022,125920614,3/9/2012 10:33:20,2,00597508,Gwynns Falls,0.054000000000000,02060003000194,1,125920297,558,55800,0,1,0,0.000507535007839,10000400028933.000000000000000,0206,1
1758,125920379,6/10/2016 0:00:00,2,00597508,Gwynns Falls,1.159851510000000,02060003000193,1,,460,46006,0,1,0,0.011608827027670,10000400024273.000000000000000,0206,1
4539,125920404,3/9/2012 10:33:54,2,00597508,Gwynns Falls,0.263000000000000,02060003000195,1,,460,46006,0,1,0,0.002570558210959,10000400024179.000000000000000,0206,1
6266,125920510,6/10/2016 0:00:00,2,00597508,Gwynns Falls,1.066824790000000,02060003000196,1,,460,46006,0,1,0,0.010986414762377,10000400033534.000000000000000,0206,1
6268,125920602,3/9/2012 10:32:35,2,00597508,Gwynns Falls,0.430000000000000,02060003000196,1,125924171,558,55800,0,1,0,0.003953634470790,10000400033537.000000000000000,0206,1
6269,125920599,3/9/2012 10:32:35,2,00597508,Gwynns Falls,0.021000000000000,02060003000196,1,125924171,558,55800,0,1,0,0.000233362759690,10000400033538.000000000000000,0206,1
6585,125915356,3/9/2012 10:32:35,2,00597508,Gwynns Falls,0.495000000000000,02060003000196,1,,460,46006,0,1,0,0.004639511036346,10000400028752.000000000000000,0206,1
6587,125915507,3/9/2012 10:32:35,2,00597508,Gwynns Falls,0.329000000000000,02060003000196,1,,460,46006,0,1,0,0.003312486264565,10000400028754.000000000000000,0206,1
6588,125915999,3/9/2012 10:32:35,2,00597508,Gwynns Falls,0.405000000000000,02060003000196,1,125924171,558,55800,0,1,0,0.004314641512438,10000400028755.000000000000000,0206,1
6590,125915511,3/9/2012 10:32:35,2,00597508,Gwynns Falls,0.697000000000000,02060003000196,1,,460,46006,0,1,0,0.007441303388672,10000400028757.000000000000000,0206,1
6791,125920370,3/9/2012 10:32:06,2,00597508,Gwynns Falls,0.030000000000000,02060003000192,1,,460,46006,0,1,0,0.000318226334073,10000400029045.000000000000000,0206,1
6792,125920368,6/10/2016 0:00:00,2,00597508,Gwynns Falls,1.278403570000000,02060003000192,1,,460,46006,0,1,0,0.013517437864373,10000400029046.000000000000000,0206,1
7001,125915416,3/9/2012 10:32:50,2,00597508,Gwynns Falls,0.701000000000000,02060003000202,1,,460,46006,0,1,0,0.006512785380019,10000400033341.000000000000000,0206,1
7002,125915529,3/9/2012 10:33:21,2,00597508,Gwynns Falls,0.032000000000000,02060003000200,1,,460,46006,0,1,0,0.000359732819742,10000400033342.000000000000000,0206,1
9068,125915425,3/9/2012 10:32:50,2,00597508,Gwynns Falls,1.020000000000000,02060003000202,1,,460,46006,0,1,0,0.011408849227155,10000400023924.000000000000000,0206,1
9105,125915394,3/9/2012 10:33:21,2,00597508,Gwynns Falls,0.337000000000000,02060003000200,1,,460,46006,0,1,0,0.003179643486214,10000400024006.000000000000000,0206,1
9845,125915549,3/9/2012 10:32:50,2,00597508,Gwynns Falls,1.085000000000000,02060003000202,1,,460,46006,0,1,0,0.011935169789342,10000400023842.000000000000000,0206,1
10316,125920622,4/21/2015 0:00:00,2,,,0.037820320000000,02060003008370,1,125920296,558,55800,0,1,0,0.000367099392584,10000400024381.000000000000000,0206,1
10317,125920620,3/9/2012 10:32:06,2,00597508,Gwynns Falls,0.193000000000000,02060003000192,1,125920296,558,55800,0,1,0,0.001798056435171,10000400024382.000000000000000,0206,1
10884,125920633,3/9/2012 10:33:02,2,00597508,Gwynns Falls,1.481000000000000,02060003000191,1,125920312,558,55800,0,1,0,0.014351786066216,10000400033818.000000000000000,0206,1
11380,125915422,3/9/2012 10:32:50,2,00597508,Gwynns Falls,0.262000000000000,02060003000202,1,,460,46006,0,1,0,0.002631715006020,10000400028660.000000000000000,0206,1
12331,125915514,3/9/2012 10:33:49,2,00597508,Gwynns Falls,0.571000000000000,02060003000197,1,,460,46006,0,1,0,0.005325442685154,10000400000809.000000000000000,0206,1
12467,125920439,3/9/2012 10:32:35,2,00597508,Gwynns Falls,0.087000000000000,02060003000196,1,,460,46006,0,1,0,0.000811705581288,10000400000905.000000000000000,0206,1
12468,125920440,3/9/2012 10:33:54,2,00597508,Gwynns Falls,0.192000000000000,02060003000195,1,,460,46006,0,1,0,0.001857231430315,10000400000906.000000000000000,0206,1
12489,125920364,3/9/2012 10:32:06,2,00597508,Gwynns Falls,1.366000000000000,02060003000192,1,,460,46006,0,1,0,0.013650693872945,10000400001075.000000000000000,0206,1
